Revenue_Month,User_ID_Count,Revenue,Avg_Revenue
2017-03,4930,952220.7388000006,193.14822288032468
2017-04,9058,2049221.527800008,226.23333272245617
2017-05,4786,766990.5006800044,160.25710419557132
2017-06,5499,963796.4639999964,175.26758756137414
2017-07,6032,1025810.6639999945,170.06144960212112
2017-08,4865,773943.7400000064,159.084016443989
2017-09,6854,1230439.171999989,179.52132652465554
2017-10,6750,1271118.7480000013,188.31388859259278
2017-11,7557,1339370.8559999987,177.23578880508123
2017-12,4573,805684.2559999971,176.18286813907656
2018-01,5569,971637.2639999982,174.47248410845722
2018-02,5595,1001314.0999999997,178.96588025022336
2018-03,5279,931827.6960000031,176.51594923280985
