Revenue_Month,Revenue,MonthlyGrowth(%)
2017-03,958340.3012800008,
2017-04,2052788.1595600082,114.20242442253712
2017-05,766990.5006800044,-62.63664630429279
2017-06,963796.4639999964,25.65950466733373
2017-07,1026004.7599999945,6.454505523066367
2017-08,774130.9720000064,-24.54898825225621
2017-09,1230439.171999989,58.944573528829046
2017-10,1271118.7480000013,3.306102156508106
2017-11,1417349.6359999978,11.5041091345776
2017-12,876302.6559999982,-38.17314840725725
2018-01,1045831.3079999988,19.345901879818218
2018-02,1074545.0199999982,2.7455395320790554
2018-03,1013101.5800000029,-5.718088945216593
